epoch: 0	train ppl: 733.3721345113643	val ppl: 451.50977195129957	best val: 451.50977195129957	time (s) spent in epoch: 346.1405622959137
epoch: 1	train ppl: 431.7756122676373	val ppl: 345.30387431938146	best val: 345.30387431938146	time (s) spent in epoch: 346.63288474082947
epoch: 2	train ppl: 335.3756290448333	val ppl: 285.6388184436972	best val: 285.6388184436972	time (s) spent in epoch: 346.1539444923401
epoch: 3	train ppl: 285.0164555816653	val ppl: 253.6843190209121	best val: 253.6843190209121	time (s) spent in epoch: 345.94665026664734
epoch: 4	train ppl: 252.73201416512623	val ppl: 209.83319093552802	best val: 209.83319093552802	time (s) spent in epoch: 345.58075499534607
epoch: 5	train ppl: 228.8600575419352	val ppl: 204.1389046650037	best val: 204.1389046650037	time (s) spent in epoch: 345.72434639930725
epoch: 6	train ppl: 210.9923225292572	val ppl: 196.76048763473784	best val: 196.76048763473784	time (s) spent in epoch: 345.7002489566803
epoch: 7	train ppl: 196.04231647129282	val ppl: 185.5095589643939	best val: 185.5095589643939	time (s) spent in epoch: 345.6472132205963
epoch: 8	train ppl: 183.53302126085651	val ppl: 172.91751092017884	best val: 172.91751092017884	time (s) spent in epoch: 345.9715926647186
epoch: 9	train ppl: 173.03995954772137	val ppl: 163.77362192426924	best val: 163.77362192426924	time (s) spent in epoch: 345.58173394203186
epoch: 10	train ppl: 163.3999743812095	val ppl: 167.21674528636788	best val: 163.77362192426924	time (s) spent in epoch: 345.5883905887604
epoch: 11	train ppl: 155.3308632077404	val ppl: 159.46464546107717	best val: 159.46464546107717	time (s) spent in epoch: 345.4770452976227
epoch: 12	train ppl: 147.75852700934553	val ppl: 148.77675070065607	best val: 148.77675070065607	time (s) spent in epoch: 345.85040760040283
epoch: 13	train ppl: 141.0446372393277	val ppl: 151.6244068445892	best val: 148.77675070065607	time (s) spent in epoch: 345.4485938549042
epoch: 14	train ppl: 134.64004657174107	val ppl: 150.71396795806896	best val: 148.77675070065607	time (s) spent in epoch: 345.784636259079
epoch: 15	train ppl: 129.17029626235225	val ppl: 142.97965883476272	best val: 142.97965883476272	time (s) spent in epoch: 345.86315727233887
epoch: 16	train ppl: 123.89849238865168	val ppl: 142.77870037255016	best val: 142.77870037255016	time (s) spent in epoch: 345.7881724834442
epoch: 17	train ppl: 119.46076098990706	val ppl: 144.00657848404285	best val: 142.77870037255016	time (s) spent in epoch: 345.5456976890564
epoch: 18	train ppl: 115.15584841250437	val ppl: 143.61889927539985	best val: 142.77870037255016	time (s) spent in epoch: 345.2363498210907
epoch: 19	train ppl: 111.27624863148498	val ppl: 138.07031635915675	best val: 138.07031635915675	time (s) spent in epoch: 345.7607431411743
epoch: 20	train ppl: 107.0034066317346	val ppl: 137.85190023742481	best val: 137.85190023742481	time (s) spent in epoch: 345.78846883773804
epoch: 21	train ppl: 103.25268974964088	val ppl: 138.03516572679695	best val: 137.85190023742481	time (s) spent in epoch: 345.7096302509308
epoch: 22	train ppl: 100.31874503295754	val ppl: 138.55128739271115	best val: 137.85190023742481	time (s) spent in epoch: 345.93430614471436
epoch: 23	train ppl: 97.10186684866991	val ppl: 137.13407546232315	best val: 137.13407546232315	time (s) spent in epoch: 345.6369733810425
epoch: 24	train ppl: 94.18853659969537	val ppl: 136.15460525606056	best val: 136.15460525606056	time (s) spent in epoch: 346.27000427246094
epoch: 25	train ppl: 91.33442221093397	val ppl: 136.2229226091606	best val: 136.15460525606056	time (s) spent in epoch: 345.7111601829529
epoch: 26	train ppl: 88.90087488222049	val ppl: 136.1375110244527	best val: 136.1375110244527	time (s) spent in epoch: 345.44314789772034
epoch: 27	train ppl: 86.27403852783665	val ppl: 136.4776989770941	best val: 136.1375110244527	time (s) spent in epoch: 346.0311737060547
epoch: 28	train ppl: 84.08056529942644	val ppl: 136.45377543543518	best val: 136.1375110244527	time (s) spent in epoch: 345.60176157951355
epoch: 29	train ppl: 81.64738725802844	val ppl: 135.90156392522192	best val: 135.90156392522192	time (s) spent in epoch: 345.54110455513
epoch: 30	train ppl: 79.39617166140766	val ppl: 136.30638774748934	best val: 135.90156392522192	time (s) spent in epoch: 345.5506691932678
epoch: 31	train ppl: 77.65567628131741	val ppl: 136.55618719547235	best val: 135.90156392522192	time (s) spent in epoch: 345.70181703567505
epoch: 32	train ppl: 75.5986934163482	val ppl: 138.85807271473826	best val: 135.90156392522192	time (s) spent in epoch: 346.17960476875305
epoch: 33	train ppl: 73.87608398497937	val ppl: 137.68680861851428	best val: 135.90156392522192	time (s) spent in epoch: 346.0233850479126
epoch: 34	train ppl: 72.13862386273134	val ppl: 137.86086211522885	best val: 135.90156392522192	time (s) spent in epoch: 345.83569717407227
epoch: 35	train ppl: 70.64264750577212	val ppl: 139.37440718726856	best val: 135.90156392522192	time (s) spent in epoch: 345.7359163761139
epoch: 36	train ppl: 69.25703033470383	val ppl: 141.1439737197367	best val: 135.90156392522192	time (s) spent in epoch: 345.66854524612427
epoch: 37	train ppl: 67.52762150352676	val ppl: 139.90900046148533	best val: 135.90156392522192	time (s) spent in epoch: 346.1533031463623
epoch: 38	train ppl: 66.29209607566449	val ppl: 141.70610680465134	best val: 135.90156392522192	time (s) spent in epoch: 346.08912324905396
epoch: 39	train ppl: 64.8866806609394	val ppl: 140.12374275764668	best val: 135.90156392522192	time (s) spent in epoch: 345.42747735977173
