epoch: 0	train ppl: 345.31612344376373	val ppl: 218.38539930992957	best val: 218.38539930992957	time (s) spent in epoch: 36.77037763595581
epoch: 1	train ppl: 163.86605706650607	val ppl: 176.1462440713482	best val: 176.1462440713482	time (s) spent in epoch: 35.54266166687012
epoch: 2	train ppl: 121.73391298343103	val ppl: 161.50968630020463	best val: 161.50968630020463	time (s) spent in epoch: 35.490752935409546
epoch: 3	train ppl: 98.9723509438823	val ppl: 154.45873311241627	best val: 154.45873311241627	time (s) spent in epoch: 35.83122134208679
epoch: 4	train ppl: 84.05833073520819	val ppl: 153.2689828401477	best val: 153.2689828401477	time (s) spent in epoch: 35.844990730285645
epoch: 5	train ppl: 74.1225033550972	val ppl: 152.93412041736116	best val: 152.93412041736116	time (s) spent in epoch: 36.64095139503479
epoch: 6	train ppl: 65.24418015336741	val ppl: 156.0640739387225	best val: 152.93412041736116	time (s) spent in epoch: 36.375181436538696
epoch: 7	train ppl: 57.946198384621994	val ppl: 158.70526502957927	best val: 152.93412041736116	time (s) spent in epoch: 36.11226940155029
epoch: 8	train ppl: 51.95319093891921	val ppl: 167.0526207478242	best val: 152.93412041736116	time (s) spent in epoch: 36.29767417907715
epoch: 9	train ppl: 46.81184902485914	val ppl: 174.08569909132646	best val: 152.93412041736116	time (s) spent in epoch: 35.894086599349976
epoch: 10	train ppl: 42.222475785748806	val ppl: 183.57836919410866	best val: 152.93412041736116	time (s) spent in epoch: 36.01426124572754
epoch: 11	train ppl: 38.13175126075742	val ppl: 194.39203948536377	best val: 152.93412041736116	time (s) spent in epoch: 36.660884380340576
epoch: 12	train ppl: 34.441146092835695	val ppl: 205.94365152614637	best val: 152.93412041736116	time (s) spent in epoch: 35.63551044464111
epoch: 13	train ppl: 31.27440715502769	val ppl: 219.0681141757919	best val: 152.93412041736116	time (s) spent in epoch: 36.24201512336731
epoch: 14	train ppl: 28.491284312733935	val ppl: 234.30368092584655	best val: 152.93412041736116	time (s) spent in epoch: 36.02262043952942
epoch: 15	train ppl: 26.002377462558815	val ppl: 250.6127783904238	best val: 152.93412041736116	time (s) spent in epoch: 35.82784819602966
epoch: 16	train ppl: 23.720171441259936	val ppl: 268.7056106670077	best val: 152.93412041736116	time (s) spent in epoch: 35.96063256263733
epoch: 17	train ppl: 21.639070876044013	val ppl: 294.152673205086	best val: 152.93412041736116	time (s) spent in epoch: 36.16427159309387
epoch: 18	train ppl: 19.687834786967148	val ppl: 315.61609016132724	best val: 152.93412041736116	time (s) spent in epoch: 36.101290702819824
epoch: 19	train ppl: 17.941511569352468	val ppl: 339.2252862220311	best val: 152.93412041736116	time (s) spent in epoch: 36.28924894332886
epoch: 20	train ppl: 16.36116237557066	val ppl: 372.63095129776076	best val: 152.93412041736116	time (s) spent in epoch: 36.1408908367157
epoch: 21	train ppl: 14.866663548527132	val ppl: 406.1656954738975	best val: 152.93412041736116	time (s) spent in epoch: 36.36339259147644
epoch: 22	train ppl: 13.508871151755935	val ppl: 457.6648180213324	best val: 152.93412041736116	time (s) spent in epoch: 36.18292236328125
epoch: 23	train ppl: 12.270259743848293	val ppl: 499.5096296460386	best val: 152.93412041736116	time (s) spent in epoch: 36.43616509437561
epoch: 24	train ppl: 11.186110652683928	val ppl: 564.7839789622785	best val: 152.93412041736116	time (s) spent in epoch: 35.7466516494751
epoch: 25	train ppl: 10.179973348692986	val ppl: 626.3295346695734	best val: 152.93412041736116	time (s) spent in epoch: 36.46956467628479
epoch: 26	train ppl: 9.290668859177904	val ppl: 704.7407823485022	best val: 152.93412041736116	time (s) spent in epoch: 36.27350330352783
epoch: 27	train ppl: 8.502222497402059	val ppl: 788.9134049058221	best val: 152.93412041736116	time (s) spent in epoch: 35.870437145233154
epoch: 28	train ppl: 7.772928709201949	val ppl: 855.0529469348911	best val: 152.93412041736116	time (s) spent in epoch: 36.256449699401855
epoch: 29	train ppl: 7.16296651880119	val ppl: 978.3071518757558	best val: 152.93412041736116	time (s) spent in epoch: 36.188318490982056
epoch: 30	train ppl: 6.61264765206115	val ppl: 1126.2749676069855	best val: 152.93412041736116	time (s) spent in epoch: 36.06161379814148
epoch: 31	train ppl: 6.13291140938285	val ppl: 1256.1716975777915	best val: 152.93412041736116	time (s) spent in epoch: 36.02281379699707
epoch: 32	train ppl: 5.715997172487146	val ppl: 1434.9420247824544	best val: 152.93412041736116	time (s) spent in epoch: 36.36093831062317
epoch: 33	train ppl: 5.337257499173275	val ppl: 1629.9949641897401	best val: 152.93412041736116	time (s) spent in epoch: 36.26537895202637
epoch: 34	train ppl: 5.033586478973446	val ppl: 1878.8583379249094	best val: 152.93412041736116	time (s) spent in epoch: 37.470526933670044
epoch: 35	train ppl: 4.748196995679022	val ppl: 2085.9493175001476	best val: 152.93412041736116	time (s) spent in epoch: 36.54191184043884
epoch: 36	train ppl: 4.512383955880733	val ppl: 2340.760029174702	best val: 152.93412041736116	time (s) spent in epoch: 36.018622398376465
epoch: 37	train ppl: 4.292817496348889	val ppl: 2520.314152393508	best val: 152.93412041736116	time (s) spent in epoch: 36.24642848968506
epoch: 38	train ppl: 4.095252413202155	val ppl: 2864.2403217842175	best val: 152.93412041736116	time (s) spent in epoch: 37.084765911102295
epoch: 39	train ppl: 3.916366882527031	val ppl: 3194.6884860450814	best val: 152.93412041736116	time (s) spent in epoch: 36.09355902671814
