epoch: 0	train ppl: 261933.2320481498	val ppl: 3848.745469073351	best val: 3848.745469073351	time (s) spent in epoch: 18.018419981002808
epoch: 1	train ppl: 3014.043301626246	val ppl: 1080.79691629979	best val: 1080.79691629979	time (s) spent in epoch: 17.81611204147339
epoch: 2	train ppl: 1103.3330744790085	val ppl: 700.8109095123917	best val: 700.8109095123917	time (s) spent in epoch: 18.016958475112915
epoch: 3	train ppl: 730.8372775924171	val ppl: 571.7852397413868	best val: 571.7852397413868	time (s) spent in epoch: 18.00001859664917
epoch: 4	train ppl: 566.1202605636631	val ppl: 431.44909005825434	best val: 431.44909005825434	time (s) spent in epoch: 17.98103165626526
epoch: 5	train ppl: 467.57327076693593	val ppl: 485.65860907763914	best val: 431.44909005825434	time (s) spent in epoch: 17.917898178100586
epoch: 6	train ppl: 386.28640266787147	val ppl: 542.8069998834516	best val: 431.44909005825434	time (s) spent in epoch: 17.82227110862732
epoch: 7	train ppl: 331.7483627748757	val ppl: 299.1959768657192	best val: 299.1959768657192	time (s) spent in epoch: 18.22152543067932
epoch: 8	train ppl: 282.0739915672838	val ppl: 297.6655394847923	best val: 297.6655394847923	time (s) spent in epoch: 18.137357711791992
epoch: 9	train ppl: 247.40765933789694	val ppl: 262.78808630526555	best val: 262.78808630526555	time (s) spent in epoch: 18.343971967697144
epoch: 10	train ppl: 223.683403127799	val ppl: 266.6407889528623	best val: 262.78808630526555	time (s) spent in epoch: 17.719797372817993
epoch: 11	train ppl: 200.22683101113338	val ppl: 235.43460803912708	best val: 235.43460803912708	time (s) spent in epoch: 17.89603877067566
epoch: 12	train ppl: 180.32101360105753	val ppl: 254.20666265592843	best val: 235.43460803912708	time (s) spent in epoch: 17.918745279312134
epoch: 13	train ppl: 161.37880374035888	val ppl: 212.1340117650914	best val: 212.1340117650914	time (s) spent in epoch: 18.4408962726593
epoch: 14	train ppl: 146.88376916822102	val ppl: 215.2117662775353	best val: 212.1340117650914	time (s) spent in epoch: 17.747005939483643
epoch: 15	train ppl: 134.70825869786614	val ppl: 204.75032725341933	best val: 204.75032725341933	time (s) spent in epoch: 17.923022031784058
epoch: 16	train ppl: 122.80043755833111	val ppl: 181.33201018173773	best val: 181.33201018173773	time (s) spent in epoch: 17.6992769241333
epoch: 17	train ppl: 113.2670332369063	val ppl: 208.97086188158158	best val: 181.33201018173773	time (s) spent in epoch: 17.698041439056396
epoch: 18	train ppl: 104.66212301508942	val ppl: 187.19007364361173	best val: 181.33201018173773	time (s) spent in epoch: 18.055962800979614
epoch: 19	train ppl: 94.63644774076066	val ppl: 213.44496652750823	best val: 181.33201018173773	time (s) spent in epoch: 17.75405478477478
epoch: 20	train ppl: 90.73782521570494	val ppl: 185.82298682329767	best val: 181.33201018173773	time (s) spent in epoch: 17.664422035217285
epoch: 21	train ppl: 82.97139717828199	val ppl: 199.31800804678406	best val: 181.33201018173773	time (s) spent in epoch: 17.90323257446289
epoch: 22	train ppl: 75.03438338391095	val ppl: 184.46602704881516	best val: 181.33201018173773	time (s) spent in epoch: 17.763972520828247
epoch: 23	train ppl: 70.4027129382414	val ppl: 199.87579395197352	best val: 181.33201018173773	time (s) spent in epoch: 17.76335620880127
epoch: 24	train ppl: 66.60962641773544	val ppl: 221.0612856245797	best val: 181.33201018173773	time (s) spent in epoch: 17.62660789489746
epoch: 25	train ppl: 60.680967061386966	val ppl: 254.46516416309814	best val: 181.33201018173773	time (s) spent in epoch: 18.02565050125122
epoch: 26	train ppl: 57.04843508231027	val ppl: 216.6885421958393	best val: 181.33201018173773	time (s) spent in epoch: 17.84324598312378
epoch: 27	train ppl: 52.884819138941786	val ppl: 264.76010781889687	best val: 181.33201018173773	time (s) spent in epoch: 17.78692317008972
epoch: 28	train ppl: 48.864406379305755	val ppl: 239.00910409594977	best val: 181.33201018173773	time (s) spent in epoch: 18.103004217147827
epoch: 29	train ppl: 45.85763023705783	val ppl: 262.0459162573543	best val: 181.33201018173773	time (s) spent in epoch: 17.646749019622803
epoch: 30	train ppl: 43.22022746497767	val ppl: 252.8569667022584	best val: 181.33201018173773	time (s) spent in epoch: 17.859257459640503
epoch: 31	train ppl: 39.543610816400225	val ppl: 302.9425117898106	best val: 181.33201018173773	time (s) spent in epoch: 17.61646556854248
epoch: 32	train ppl: 37.064276661564435	val ppl: 330.2372000895775	best val: 181.33201018173773	time (s) spent in epoch: 17.98083996772766
epoch: 33	train ppl: 34.86119510698647	val ppl: 315.9488601929502	best val: 181.33201018173773	time (s) spent in epoch: 17.75031065940857
epoch: 34	train ppl: 31.943520557448103	val ppl: 302.8055459655681	best val: 181.33201018173773	time (s) spent in epoch: 17.850974082946777
epoch: 35	train ppl: 29.926810746723312	val ppl: 336.2834953076391	best val: 181.33201018173773	time (s) spent in epoch: 17.793678045272827
epoch: 36	train ppl: 28.35181073242132	val ppl: 412.01637321406866	best val: 181.33201018173773	time (s) spent in epoch: 17.818615913391113
epoch: 37	train ppl: 26.9703506447474	val ppl: 351.69238178840675	best val: 181.33201018173773	time (s) spent in epoch: 17.930211305618286
epoch: 38	train ppl: 24.638779194261087	val ppl: 407.5277778111886	best val: 181.33201018173773	time (s) spent in epoch: 17.87593960762024
epoch: 39	train ppl: 23.368401657779533	val ppl: 430.35564213227747	best val: 181.33201018173773	time (s) spent in epoch: 17.91041612625122
